epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,90.422,3.61724,0.72171,0.925,1.60686,0.00332604,0.00332604,0.00332604
2,176.527,0.95081,0.96435,0.99959,0.22618,0.00643961,0.00643961,0.00643961
3,261.109,0.28557,0.94526,0.99856,0.18426,0.00933319,0.00933319,0.00933319
4,341.154,0.13472,0.99193,1,0.03934,0.00901,0.00901,0.00901
5,421.019,0.08325,0.99583,1,0.03134,0.00868,0.00868,0.00868
6,501.844,0.06214,0.99733,1,0.01684,0.00835,0.00835,0.00835
7,583.957,0.04829,0.99891,1,0.01073,0.00802,0.00802,0.00802
8,666.091,0.03934,0.9974,1,0.00873,0.00769,0.00769,0.00769
9,748.083,0.03327,0.99802,1,0.00969,0.00736,0.00736,0.00736
10,829.291,0.03061,0.99966,1,0.00497,0.00703,0.00703,0.00703
11,915.149,0.02376,0.99973,1,0.00442,0.0067,0.0067,0.0067
12,997.575,0.02479,0.99993,1,0.00319,0.00637,0.00637,0.00637
13,1086.25,0.02322,1,1,0.00262,0.00604,0.00604,0.00604
14,1170.58,0.02123,1,1,0.00238,0.00571,0.00571,0.00571
15,1258.79,0.01818,1,1,0.00205,0.00538,0.00538,0.00538
16,1344.64,0.01678,1,1,0.00215,0.00505,0.00505,0.00505
17,1429.39,0.01615,1,1,0.0021,0.00472,0.00472,0.00472
18,1514.45,0.015,1,1,0.00175,0.00439,0.00439,0.00439
19,1599.65,0.01377,1,1,0.00146,0.00406,0.00406,0.00406
20,1684.94,0.01352,1,1,0.00135,0.00373,0.00373,0.00373
21,1803.97,0.01267,1,1,0.00147,0.0034,0.0034,0.0034
22,1889.62,0.01118,1,1,0.00133,0.00307,0.00307,0.00307
23,1976.76,0.00988,1,1,0.00119,0.00274,0.00274,0.00274
24,2064.04,0.01018,1,1,0.00128,0.00241,0.00241,0.00241
25,2151.26,0.01018,1,1,0.00127,0.00208,0.00208,0.00208
26,2238.25,0.00975,1,1,0.0013,0.00175,0.00175,0.00175
27,2325.85,0.0089,1,1,0.00124,0.00142,0.00142,0.00142
28,2413.78,0.00855,1,1,0.0012,0.00109,0.00109,0.00109
29,2501.4,0.00788,1,1,0.00115,0.00076,0.00076,0.00076
30,2589.36,0.00806,1,1,0.00113,0.00043,0.00043,0.00043
